Index,Year,Days
1,1855-56,118.00
2,1856-57,151.00
3,1857-58,121.00
4,1858-59,96.00
5,1859-60,110.00
6,1860-61,117.00
7,1861-62,132.00
8,1862-63,104.00
9,1863-64,125.00
10,1864-65,118.00
11,1865-66,125.00
12,1866-67,123.00
13,1867-68,110.00
14,1868-69,127.00
15,1869-70,131.00
16,1870-71,99.00
17,1871-72,126.00
18,1872-73,144.00
19,1873-74,136.00
20,1874-75,126.00
21,1875-76,91.00
22,1876-77,130.00
23,1877-78,62.00
24,1878-79,112.00
25,1879-80,99.00
26,1880-81,161.00
27,1881-82,78.00
28,1882-83,124.00
29,1883-84,119.00
30,1884-85,124.00
31,1885-86,128.00
32,1886-87,131.00
33,1887-88,113.00
34,1888-89,88.00
35,1889-90,75.00
36,1890-91,111.00
37,1891-92,97.00
38,1892-93,112.00
39,1893-94,101.00
40,1894-95,101.00
41,1895-96,91.00
42,1896-97,110.00
43,1897-98,100.00
44,1898-99,130.00
45,1899-00,111.00
46,1900-01,107.00
47,1901-02,105.00
48,1902-03,89.00
49,1903-04,126.00
50,1904-05,108.00
51,1905-06,97.00
52,1906-07,94.00
53,1907-08,83.00
54,1908-09,106.00
55,1909-10,98.00
56,1910-11,101.00
57,1911-12,108.00
58,1912-13,99.00
59,1913-14,88.00
60,1914-15,115.00
61,1915-16,102.00
62,1916-17,116.00
63,1917-18,115.00
64,1918-19,82.00
65,1919-20,110.00
66,1920-21,81.00
67,1921-22,96.00
68,1922-23,125.00
69,1923-24,104.00
70,1924-25,105.00
71,1925-26,124.00
72,1926-27,103.00
73,1927-28,106.00
74,1928-29,96.00
75,1929-30,107.00
76,1930-31,98.00
77,1931-32,65.00
78,1932-33,115.00
79,1933-34,91.00
80,1934-35,94.00
81,1935-36,101.00
82,1936-37,121.00
83,1937-38,105.00
84,1938-39,97.00
85,1939-40,105.00
86,1940-41,96.00
87,1941-42,82.00
88,1942-43,116.00
89,1943-44,114.00
90,1944-45,92.00
91,1945-46,98.00
92,1946-47,101.00
93,1947-48,104.00
94,1948-49,96.00
95,1949-50,109.00
96,1950-51,122.00
97,1951-52,114.00
98,1952-53,81.00
99,1953-54,85.00
100,1954-55,92.00
101,1955-56,114.00
102,1956-57,111.00
103,1957-58,95.00
104,1958-59,126.00
105,1959-60,105.00
106,1960-61,108.00
107,1961-62,117.00
108,1962-63,112.00
109,1963-64,113.00
110,1964-65,120.00
111,1965-66,65.00
112,1966-67,98.00
113,1967-68,91.00
114,1968-69,108.00
115,1969-70,113.00
116,1970-71,110.00
117,1971-72,105.00
118,1972-73,97.00
119,1973-74,105.00
120,1974-75,107.00
121,1975-76,88.00
122,1976-77,115.00
123,1977-78,123.00
124,1978-79,118.00
125,1979-80,99.00
126,1980-81,93.00
127,1981-82,96.00
128,1982-83,54.00
129,1983-84,111.00
130,1984-85,85.00
131,1985-86,107.00
132,1986-87,89.00
133,1987-88,87.00
134,1988-89,97.00
135,1989-90,93.00
136,1990-91,88.00
137,1991-92,99.00
138,1992-93,108.00
139,1993-94,94.00
140,1994-95,74.00
141,1995-96,119.00
142,1996-97,102.00
143,1997-98,47.00
144,1998-99,82.00
145,1999-00,53.00
146,2000-01,115.00
147,2001-02,21.00
148,2002-03,89.00
149,2003-04,80.00
150,2004-05,101.00
151,2005-06,95.00
152,2006-07,66.00
153,2007-08,106.00
154,2008-09,97.00
155,2009-10,87.00
156,2010-11,109.00
157,2011-12,57.00
158,2012-13,87.00
159,2013-14,117.00
160,2014-15,91.00
161,2015-16,62.00
162,2016-17,65.00
163,2017-18,94.00
164,2018-19,86.00
165,2019-20,70.00
